docker-cpu,docker-gpu,envd-v0-cpu,envd-v0-gpu,envd-v1-cpu,envd-v1-gpu
49.6786166,167.997942524,30.075305362999984,161.623470494,66.70077491300003,219.535349721
57.69844143500001,inf,31.66189176100005,172.59289240000004,69.33435198199993,230.54429402
61.527659501,216.99184928000005,35.04310817800001,186.11711422,79.80333755900006,258.422113695
67.463483693,189.684857277,35.13870799100005,187.634352292,63.82367107800008,238.16065757
49.86225231,165.94564490800002,30.455799122999963,169.34380831000004,55.15965862999997,211.93992519
68.90858359,198.321667643,54.050117365000006,193.0826969,66.177431953,248.427509586
56.69604838799998,166.493508513,31.454580433000046,166.16284516000002,56.13614800399989,214.3706843970001
66.38661664899999,199.039366946,37.32254265300003,204.76382668300005,71.91404036099993,258.34475233499995
54.26755617399999,179.89962985799997,31.838278470000034,172.21743137400006,89.086507955,219.9909161
52.86859157999999,175.75692294,32.05244923500004,176.39487342100006,90.706311336,224.509307115
60.028674711,182.326505076,33.45821123899998,185.06579864699995,97.15424523499996,235.07944509000004
46.780638023,166.25960088299996,29.500599858999976,167.13248083300005,84.82624097999997,214.0931921170001
51.724551503,168.176522826,31.903848359,173.96137620899998,85.78145677900005,216.919648793
50.480576755000016,165.586568281,30.707023317,176.36232325899994,87.37178620500003,219.442412614
53.36680174700001,172.666057125,97.725350272,177.12149001700004,89.062484574,220.34163686600004
73.34639138099999,208.951128648,131.19056460899998,208.091193386,115.94118226799992,267.88965994
54.219028555,175.64353777000002,101.01292492700004,178.01031121099993,89.39041953799995,220.9149145199999
54.222971655,167.65927524499998,95.553488523,166.85277172700006,86.04942590199994,207.37948283900005
50.228973755,162.43540009799997,94.83499801200003,163.23580382800003,81.84131537000007,204.26893496899993
